2020-03-01,24431
2020-03-02,36641
2020-03-03,39447
2020-03-04,31269
2020-03-05,35851
2020-03-06,40897
2020-03-07,42379
2020-03-08,54245
2020-03-09,53020
2020-03-10,10606
2020-03-11,45245
2020-03-12,50094
2020-03-13,43554
2020-03-14,42569
2020-03-15,33215
2020-03-16,42441
2020-03-17,47241
2020-03-18,62119
2020-03-19,24256
2020-03-20,53839
2020-03-21,63759
2020-03-22,64436
2020-03-23,63686
2020-03-24,69998
2020-03-25,73460
2020-03-26,47633
2020-03-27,60183
2020-03-28,64677
2020-03-29,68430
2020-03-30,69293
2020-03-31,74621
2020-04-01,70258
2020-04-02,72129
2020-04-03,74856
2020-04-04,66405
2020-04-05,64111
2020-04-06,68414
2020-04-07,73685
2020-04-08,72863
2020-04-09,73382
2020-04-10,75021
2020-04-11,75637
2020-04-12,63335
2020-04-13,77604
2020-04-14,83798
2020-04-15,89789
2020-04-16,83970
2020-04-17,35656
2020-04-18,92829
2020-04-19,29375
2020-04-20,56129
2020-04-21,58746
2020-04-22,51337
2020-04-23,64765
2020-04-24,72883
2020-04-25,78419
2020-04-26,82600
2020-04-27,77149
2020-04-28,86541
2020-04-29,88827
2020-04-30,96877
2020-05-01,93249
2020-05-02,88508
2020-05-03,89287
2020-05-04,93579
2020-05-05,88219
2020-05-06,88561
2020-05-07,90645
2020-05-08,63474
2020-05-09,7600
2020-05-10,65932
2020-05-11,76042
2020-05-12,78200
2020-05-13,89183
2020-05-14,89149
2020-05-15,13782
2020-05-16,64549
2020-05-17,89449
2020-05-18,36761
2020-05-19,55556
2020-05-20,88257
2020-05-21,93930
2020-05-22,89317
2020-05-23,101256
2020-05-24,80357
2020-05-25,92531
2020-05-26,68498
2020-05-27,101949
2020-05-28,99792
2020-05-29,103999
2020-05-30,105172
2020-05-31,93547
2020-06-01,99930
2020-06-02,79833
2020-06-03,103887
2020-06-04,97656
2020-06-05,107343
2020-06-06,105033
2020-06-07,101848
2020-06-08,103582
2020-06-09,102084
2020-06-10,58133
2020-06-11,100031
2020-06-12,109210
2020-06-13,90396
2020-06-14,94406
2020-06-15,108320
2020-06-16,106519
2020-06-17,107723
2020-06-18,110377
2020-06-19,109124
2020-06-20,102333
2020-06-21,95453
2020-06-22,98394
2020-06-23,103214
2020-06-24,19756
2020-06-25,46415
2020-06-26,96150
2020-06-27,107001
2020-06-28,98568
2020-06-29,70053
2020-06-30,38086
2020-07-01,105196
2020-07-02,107842
2020-07-03,102753
2020-07-04,98488
2020-07-05,104664
2020-07-06,106825
2020-07-07,91407
2020-07-08,105876
2020-07-09,102828
2020-07-10,90880
2020-07-11,103657
2020-07-12,57367
2020-07-13,4859
2020-07-14,85486
2020-07-15,106949
2020-07-16,102741
2020-07-17,99949
2020-07-18,98309
2020-07-19,60804
2020-07-20,72291
2020-07-21,100825
2020-07-22,46448
2020-07-23,10739
2020-07-24,76995
2020-07-25,102498
2020-07-26,94802
2020-07-27,52922
2020-07-28,68214
2020-07-29,31724
2020-07-30,92468
2020-07-31,95705
2020-08-01,34998
2020-08-02,11491
2020-08-03,17575
2020-08-04,49378
2020-08-05,28751
2020-08-06,51456
2020-08-07,78071
2020-08-08,40020
2020-08-09,12384
2020-08-10,23519
2020-08-11,50974
2020-08-12,78261
2020-08-13,79353
2020-08-14,72875
2020-08-15,26267
2020-08-16,66011
2020-08-17,73368
2020-08-18,82202
2020-08-19,84665
2020-08-20,85420
2020-08-21,78701
2020-08-22,40126
2020-08-23,80594
2020-08-24,90297
2020-08-25,87894
2020-08-26,40169
2020-08-27,32745
2020-08-28,62045
2020-08-29,33797
2020-08-30,52904
2020-08-31,87662
2020-09-01,87892
2020-09-02,13744
2020-09-03,71524
2020-09-04,115059
2020-09-05,113253
2020-09-06,54125
2020-09-07,3144
2020-09-08,104606
2020-09-09,75412
2020-09-10,107150
2020-09-11,61474
2020-09-12,44703
2020-09-13,118921
2020-09-14,106465
2020-09-15,111912
2020-09-16,88745
2020-09-17,110088
2020-09-18,118363
2020-09-19,117633
2020-09-20,110798
2020-09-21,108369
2020-09-22,112619
2020-09-23,111343
2020-09-24,111994
2020-09-25,114720
2020-09-26,115111
2020-09-27,109610
2020-09-28,107714
2020-09-29,113823
2020-09-30,71676
2020-10-01,82099
2020-10-02,75275
2020-10-03,97726
2020-10-04,86091
2020-10-05,93156
2020-10-06,100369
2020-10-07,103348
2020-10-08,105509
2020-10-09,104087
2020-10-10,104678
2020-10-11,95405
2020-10-12,97721
2020-10-13,97160
2020-10-14,92998
2020-10-15,92555
2020-10-16,92609
2020-10-17,94840
2020-10-18,89401
2020-10-19,95110
2020-10-20,98577
2020-10-21,96566
2020-10-22,92100
2020-10-23,84672
2020-10-24,77452
2020-10-25,80497
2020-10-26,92374
2020-10-27,95411
2020-10-28,95033
2020-10-29,92267
2020-10-30,97088
2020-10-31,89444
2020-11-01,32925
2020-11-02,86705
2020-11-03,69439
2020-11-04,74159
2020-11-05,85090
2020-11-06,91815
2020-11-07,84151
2020-11-08,62244
2020-11-09,73482
2020-11-10,81965
2020-11-11,86595
2020-11-12,88193
2020-11-13,90754
2020-11-14,81553
2020-11-15,69098
2020-11-16,87583
2020-11-17,81258
2020-11-18,44452
2020-11-19,34590
2020-11-20,60332
2020-11-21,60290
2020-11-22,34828
2020-11-23,58766
2020-11-24,61865
2020-11-25,64921
2020-11-26,64297
2020-11-27,58092
2020-11-28,38492
2020-11-29,32211
2020-11-30,49925
2020-12-01,53885
2020-12-02,55611
2020-12-03,51533
2020-12-04,50915
2020-12-05,42953
2020-12-06,40616
2020-12-07,49809
2020-12-08,47614
2020-12-09,50476
2020-12-10,53421
2020-12-11,53536
2020-12-12,42146
2020-12-13,14362
2020-12-14,28030
2020-12-15,28028
2020-12-16,27678
2020-12-17,32315
2020-12-18,30195
2020-12-19,24130
2020-12-20,23442
2020-12-21,37286
2020-12-22,42486
2020-12-23,42218
2020-12-24,41102
2020-12-25,28600
2020-12-26,37137
2020-12-27,37103
2020-12-28,46912
2020-12-29,35747
2020-12-30,22488
2020-12-31,24535
2021-01-01,22274
2021-01-02,23631
2021-01-03,21809
2021-01-04,32957
2021-01-05,29033
2021-01-06,22261
2021-01-07,5549
2021-01-08,8029
2021-01-09,9082
2021-01-10,11116
2021-01-11,19525
2021-01-12,12827
2021-01-13,19780
2021-01-14,32603
2021-01-15,32429
2021-01-16,22524
2021-01-17,18081
2021-01-18,18110
2021-01-19,26940
2021-01-20,36983
2021-01-21,17451
2021-01-22,34963
2021-01-23,43368
2021-01-24,50024
2021-01-25,54669
2021-01-26,26272
2021-01-27,45639
2021-01-28,22745
2021-01-29,24435
2021-01-30,28379
2021-01-31,38533
2021-02-01,41152
2021-02-02,31136
2021-02-03,31016
2021-02-04,20201
2021-02-05,37675
2021-02-06,41507
2021-02-07,35676
2021-02-08,34253
2021-02-09,41159
2021-02-10,46659
2021-02-11,37794
2021-02-12,38251
2021-02-13,51329
2021-02-14,44734
2021-02-15,32504
2021-02-16,23008
2021-02-17,23281
2021-02-18,30267
2021-02-19,45223
2021-02-20,60703
2021-02-21,71467
2021-02-22,54943
2021-02-23,45246
2021-02-24,54470
2021-02-25,53694
2021-02-26,67686
2021-02-27,76214
2021-02-28,63298
2021-03-01,2966
2021-03-02,51013
2021-03-03,62386
2021-03-04,66283
2021-03-05,76821
2021-03-06,61833
2021-03-07,72037
2021-03-08,71470
2021-03-09,72364
2021-03-10,77153
2021-03-11,74080
2021-03-12,67097
2021-03-13,79057
2021-03-14,72694
2021-03-15,73254
2021-03-16,71318
2021-03-17,82757
2021-03-18,85416
2021-03-19,98932
2021-03-20,25486
2021-03-21,55103
2021-03-22,75928
2021-03-23,85788
2021-03-24,91845
2021-03-25,94209
2021-03-26,97153
2021-03-27,20331
2021-03-28,32571
2021-03-29,74935
2021-03-30,98689
2021-03-31,113259
2021-04-01,116640
2021-04-02,110607
2021-04-03,14026
2021-04-04,94160
2021-04-05,110533
2021-04-06,114292
